"Date","Price","Open","High","Low","Change %"
"Mar 31, 2017","1.4185","1.4245","1.4281","1.4176","-0.41%"
"Mar 30, 2017","1.4244","1.4347","1.4362","1.4207","-0.72%"
"Mar 29, 2017","1.4348","1.4468","1.4493","1.4328","-0.85%"
"Mar 28, 2017","1.4471","1.4527","1.4563","1.4437","-0.43%"
"Mar 27, 2017","1.4533","1.4444","1.4603","1.4441","0.60%"
"Mar 24, 2017","1.4447","1.4398","1.4473","1.4378","0.35%"
"Mar 23, 2017","1.4397","1.4393","1.4410","1.4357","0.04%"
"Mar 22, 2017","1.4391","1.4432","1.4497","1.4381","-0.30%"
"Mar 21, 2017","1.4435","1.4337","1.4451","1.4308","0.70%"
"Mar 20, 2017","1.4334","1.4332","1.4379","1.4314","-0.01%"
"Mar 17, 2017","1.4335","1.4338","1.4373","1.4286","-0.03%"
"Mar 16, 2017","1.4339","1.4281","1.4384","1.4241","0.40%"
"Mar 15, 2017","1.4282","1.4295","1.4328","1.4244","-0.08%"
"Mar 14, 2017","1.4294","1.4327","1.4358","1.4289","-0.22%"
"Mar 13, 2017","1.4325","1.4369","1.4419","1.4316","-0.35%"
"Mar 10, 2017","1.4376","1.4289","1.4406","1.4273","0.61%"
"Mar 09, 2017","1.4289","1.4220","1.4342","1.4204","0.46%"
"Mar 08, 2017","1.4223","1.4177","1.4241","1.4160","0.35%"
"Mar 07, 2017","1.4174","1.4193","1.4207","1.4155","-0.12%"
"Mar 06, 2017","1.4191","1.4206","1.4247","1.4173","-0.13%"
"Mar 03, 2017","1.4210","1.4072","1.4217","1.4062","1.00%"
"Mar 02, 2017","1.4069","1.4056","1.4090","1.4035","0.10%"
"Mar 01, 2017","1.4055","1.4065","1.4109","1.4005","-0.09%"
"Feb 28, 2017","1.4068","1.3950","1.4107","1.3936","0.80%"
"Feb 27, 2017","1.3956","1.3841","1.3959","1.3829","0.93%"
"Feb 24, 2017","1.3828","1.3868","1.3923","1.3824","-0.28%"
"Feb 23, 2017","1.3867","1.3897","1.3903","1.3846","-0.21%"
"Feb 22, 2017","1.3896","1.3849","1.3937","1.3803","0.35%"
"Feb 21, 2017","1.3847","1.3904","1.3919","1.3834","-0.45%"
"Feb 20, 2017","1.3909","1.3914","1.3939","1.3883","0.04%"
"Feb 17, 2017","1.3903","1.3953","1.3964","1.3894","-0.34%"
"Feb 16, 2017","1.3951","1.3864","1.3964","1.3845","0.62%"
"Feb 15, 2017","1.3865","1.3832","1.3882","1.3785","0.23%"
"Feb 14, 2017","1.3833","1.3854","1.3874","1.3802","-0.15%"
"Feb 13, 2017","1.3854","1.3907","1.3951","1.3843","-0.47%"
"Feb 10, 2017","1.3920","1.4012","1.4022","1.3887","-0.62%"
"Feb 09, 2017","1.4007","1.4061","1.4072","1.3973","-0.41%"
"Feb 08, 2017","1.4064","1.4083","1.4101","1.3998","-0.14%"
"Feb 07, 2017","1.4084","1.4065","1.4103","1.4018","0.15%"
"Feb 06, 2017","1.4063","1.4042","1.4103","1.3964","0.14%"
"Feb 03, 2017","1.4044","1.4015","1.4060","1.3990","0.21%"
"Feb 02, 2017","1.4014","1.4050","1.4091","1.3999","-0.26%"
"Feb 01, 2017","1.4051","1.4072","1.4137","1.4026","-0.14%"
"Jan 31, 2017","1.4070","1.4029","1.4102","1.3991","0.30%"
"Jan 30, 2017","1.4028","1.4057","1.4103","1.3962","-0.31%"
"Jan 27, 2017","1.4072","1.3988","1.4077","1.3974","0.64%"
"Jan 26, 2017","1.3983","1.4046","1.4082","1.3967","-0.46%"
"Jan 25, 2017","1.4048","1.4124","1.4135","1.4018","-0.52%"
"Jan 24, 2017","1.4121","1.4249","1.4289","1.4095","-0.91%"
"Jan 23, 2017","1.4250","1.4258","1.4313","1.4227","-0.05%"
"Jan 20, 2017","1.4257","1.4207","1.4279","1.4189","0.37%"
"Jan 19, 2017","1.4204","1.4107","1.4209","1.4068","0.69%"
"Jan 18, 2017","1.4106","1.3971","1.4143","1.3951","0.94%"
"Jan 17, 2017","1.3974","1.3966","1.3997","1.3913","0.04%"
"Jan 16, 2017","1.3969","1.3923","1.3989","1.3905","0.08%"
"Jan 13, 2017","1.3958","1.3956","1.4018","1.3939","0.05%"
"Jan 12, 2017","1.3951","1.3946","1.4024","1.3861","0.04%"
"Jan 11, 2017","1.3946","1.3965","1.3993","1.3852","-0.14%"
"Jan 10, 2017","1.3966","1.3976","1.4041","1.3942","-0.06%"
"Jan 09, 2017","1.3974","1.3949","1.3999","1.3933","0.23%"
"Jan 06, 2017","1.3942","1.4026","1.4080","1.3915","-0.61%"
"Jan 05, 2017","1.4027","1.3956","1.4047","1.3944","0.54%"
"Jan 04, 2017","1.3952","1.3972","1.4007","1.3877","-0.16%"
