"Date","Price","Open","High","Low","Change %"
"Aug 09, 2015","1.5646","1.5493","1.5661","1.5457","0.97%"
"Aug 02, 2015","1.5496","1.5624","1.5652","1.5424","-0.82%"
"Jul 26, 2015","1.5624","1.5510","1.5691","1.5491","0.71%"
"Jul 19, 2015","1.5514","1.5609","1.5672","1.5467","-0.61%"
"Jul 12, 2015","1.5609","1.5504","1.5675","1.5450","0.53%"
"Jul 05, 2015","1.5526","1.5534","1.5630","1.5330","-0.29%"
"Jun 28, 2015","1.5571","1.5695","1.5790","1.5557","-1.15%"
"Jun 21, 2015","1.5752","1.5869","1.5911","1.5668","-0.83%"
"Jun 14, 2015","1.5884","1.5563","1.5930","1.5487","2.09%"
"Jun 07, 2015","1.5559","1.5265","1.5602","1.5225","1.88%"
"May 31, 2015","1.5272","1.5292","1.5442","1.5170","-0.12%"
"May 24, 2015","1.5291","1.5482","1.5509","1.5236","-1.28%"
"May 17, 2015","1.5490","1.5732","1.5747","1.5447","-1.48%"
"May 10, 2015","1.5723","1.5446","1.5816","1.5393","1.73%"
"May 03, 2015","1.5456","1.5144","1.5525","1.5090","2.08%"
"Apr 26, 2015","1.5141","1.5169","1.5498","1.5107","-0.32%"
"Apr 19, 2015","1.5189","1.4959","1.5191","1.4855","1.52%"
"Apr 12, 2015","1.4962","1.4634","1.5055","1.4566","2.26%"
"Apr 05, 2015","1.4631","1.4922","1.4983","1.4587","-1.94%"
"Mar 29, 2015","1.4921","1.4879","1.4945","1.4739","0.30%"
"Mar 22, 2015","1.4877","1.4970","1.4995","1.4796","-0.49%"
"Mar 15, 2015","1.4951","1.4743","1.5149","1.4634","1.40%"
"Mar 08, 2015","1.4744","1.5039","1.5137","1.4698","-1.95%"
"Mar 01, 2015","1.5037","1.5437","1.5446","1.5030","-2.57%"
"Feb 22, 2015","1.5434","1.5395","1.5554","1.5332","0.22%"
"Feb 15, 2015","1.5400","1.5399","1.5480","1.5316","0.01%"
"Feb 08, 2015","1.5399","1.5247","1.5425","1.5197","1.00%"
"Feb 01, 2015","1.5246","1.5087","1.5354","1.4989","1.17%"
"Jan 25, 2015","1.5069","1.4988","1.5225","1.4975","0.53%"
"Jan 18, 2015","1.4990","1.5170","1.5213","1.4950","-1.06%"
"Jan 11, 2015","1.5151","1.5186","1.5272","1.5075","-0.06%"
"Jan 04, 2015","1.5160","1.5333","1.5338","1.5034","-1.10%"
"Dec 28, 2014","1.5328","1.5568","1.5621","1.5328","-1.47%"
"Dec 21, 2014","1.5556","1.5620","1.5668","1.5487","-0.49%"
"Dec 14, 2014","1.5632","1.5721","1.5788","1.5546","-0.56%"
"Dec 07, 2014","1.5720","1.5588","1.5758","1.5541","0.88%"
"Nov 30, 2014","1.5583","1.5651","1.5765","1.5570","-0.42%"
"Nov 23, 2014","1.5649","1.5659","1.5828","1.5615","-0.04%"
"Nov 16, 2014","1.5655","1.5671","1.5738","1.5591","-0.10%"
"Nov 09, 2014","1.5670","1.5876","1.5946","1.5594","-1.29%"
